"Data","Consolidato","Sottostima","Forte sottostima"
2022-05-13,0.868780305848786,NA,NA
2022-05-14,0.862885323118643,NA,NA
2022-05-15,0.851487092657682,NA,NA
2022-05-16,0.83234091647544,NA,NA
2022-05-17,0.805705045753598,NA,NA
2022-05-18,0.785182012378644,NA,NA
2022-05-19,0.763346956355989,NA,NA
2022-05-20,0.750909940122224,NA,NA
2022-05-21,0.747026897752568,NA,NA
2022-05-22,0.747585677952786,NA,NA
2022-05-23,0.731487533578093,NA,NA
2022-05-24,0.725964136511493,NA,NA
2022-05-25,0.721928289684997,NA,NA
2022-05-26,0.727072890365214,NA,NA
2022-05-27,0.735174675358938,NA,NA
2022-05-28,0.742634244030791,NA,NA
2022-05-29,0.743590737283682,NA,NA
2022-05-30,0.737357092641259,NA,NA
2022-05-31,0.740223006247373,NA,NA
2022-06-01,0.758095371019326,NA,NA
2022-06-02,0.765456826383349,NA,NA
2022-06-03,0.820598457438245,NA,NA
2022-06-04,0.87328848736089,NA,NA
2022-06-05,0.934437754677637,NA,NA
2022-06-06,0.998731911527286,NA,NA
2022-06-07,1.07434110172055,NA,NA
2022-06-08,1.12430983503848,NA,NA
2022-06-09,1.18452142526435,NA,NA
2022-06-10,1.18880055665548,NA,NA
2022-06-11,1.20460982807718,NA,NA
2022-06-12,1.24124227644871,NA,NA
2022-06-13,1.3082500938042,NA,NA
2022-06-14,1.35114511536899,NA,NA
2022-06-15,1.3880831541093,NA,NA
2022-06-16,1.40911022628383,NA,NA
2022-06-17,1.41955508727772,NA,NA
2022-06-18,1.40957015147518,NA,NA
2022-06-19,1.39968609047093,NA,NA
2022-06-20,1.42447414189477,NA,NA
2022-06-21,1.42715598672198,NA,NA
2022-06-22,1.41916793637741,NA,NA
2022-06-23,1.40650619637725,NA,NA
2022-06-24,1.38945630382948,NA,NA
2022-06-25,1.37053106004891,NA,NA
2022-06-26,1.34530962534455,NA,NA
2022-06-27,1.34160881600886,NA,NA
2022-06-28,1.33220018826778,NA,NA
2022-06-29,1.31599918948181,NA,NA
2022-06-30,1.303746537315,NA,NA
2022-07-01,1.29713565306968,NA,NA
2022-07-02,1.27020280381363,NA,NA
2022-07-03,1.2490181746794,NA,NA
2022-07-04,1.25117526458273,NA,NA
2022-07-05,1.24177129760625,NA,NA
2022-07-06,1.23477857094662,NA,NA
2022-07-07,1.2154105056359,NA,NA
2022-07-08,1.18430642167322,NA,NA
2022-07-09,1.16102626059293,NA,NA
2022-07-10,1.13809915472665,NA,NA
2022-07-11,1.11225291590269,NA,NA
2022-07-12,1.08418667297729,NA,NA
2022-07-13,1.05730894352931,NA,NA
2022-07-14,1.02526845755293,NA,NA
2022-07-15,0.994853713445616,NA,NA
2022-07-16,0.972907712229944,NA,NA
2022-07-17,0.944582518400819,NA,NA
2022-07-18,0.915838108087954,NA,NA
2022-07-19,0.889007260355502,NA,NA
2022-07-20,0.862772996137602,NA,NA
2022-07-21,0.846852608063778,NA,NA
2022-07-22,0.840101938307306,NA,NA
2022-07-23,0.835129294512682,NA,NA
2022-07-24,0.834342896553388,NA,NA
2022-07-25,0.820372128369653,NA,NA
2022-07-26,0.812177215773845,NA,NA
2022-07-27,0.803618798661935,NA,NA
2022-07-28,0.801093190877638,NA,NA
2022-07-29,0.796548735965837,NA,NA
2022-07-30,0.794941825344144,NA,NA
2022-07-31,0.78629796142889,NA,NA
2022-08-01,0.771960951821168,NA,NA
2022-08-02,0.759534480203288,NA,NA
2022-08-03,0.749321375575837,NA,NA
2022-08-04,0.742683011826476,NA,NA
2022-08-05,0.736077305014372,NA,NA
2022-08-06,0.737313784824355,NA,NA
2022-08-07,0.744820638265672,NA,NA
2022-08-08,0.718667024026666,NA,NA
2022-08-09,0.705195093525139,NA,NA
2022-08-10,0.70467546674586,NA,NA
2022-08-11,0.707320462373646,NA,NA
2022-08-12,0.718033713171127,NA,NA
2022-08-13,0.726465081134179,NA,NA
2022-08-14,0.734175381019451,NA,NA
2022-08-15,0.69987826752382,NA,NA
2022-08-16,0.748811685048762,NA,NA
2022-08-17,0.771590970397761,NA,NA
2022-08-18,0.800302394439285,NA,NA
2022-08-19,0.827608018011365,NA,NA
2022-08-20,0.86047925189419,NA,NA
2022-08-21,0.897314617769107,NA,NA
2022-08-22,0.968072575161733,NA,NA
2022-08-23,0.949136895572892,NA,NA
2022-08-24,0.94163512073045,NA,NA
2022-08-25,0.945444281336332,NA,NA
2022-08-26,0.94884339619889,NA,NA
2022-08-27,0.945245712921494,NA,NA
2022-08-28,0.944028327794826,NA,NA
2022-08-29,0.937278076684124,NA,NA
2022-08-30,0.922452725654921,NA,NA
2022-08-31,0.917142987606671,NA,NA
2022-09-01,0.903616351743373,NA,NA
2022-09-02,0.889803356737468,NA,NA
2022-09-03,0.877282959455446,NA,NA
2022-09-04,0.872853941776847,NA,NA
2022-09-05,0.852273847832466,NA,NA
2022-09-06,0.852541047514492,NA,NA
2022-09-07,0.863690767220461,NA,NA
2022-09-08,0.863156259478403,NA,NA
2022-09-09,0.876132185758393,NA,NA
2022-09-10,0.896513015835709,NA,NA
2022-09-11,0.916116997849092,NA,NA
2022-09-12,0.937902340343935,NA,NA
2022-09-13,0.9587367109693,NA,NA
2022-09-14,0.983077022097033,NA,NA
2022-09-15,1.01502215550662,NA,NA
2022-09-16,1.03522544806892,NA,NA
2022-09-17,1.05348931476969,NA,NA
2022-09-18,1.07980667728013,NA,NA
2022-09-19,1.11117852571942,NA,NA
2022-09-20,1.14511757706079,NA,NA
2022-09-21,1.16788842415665,NA,NA
2022-09-22,1.19439392030466,NA,NA
2022-09-23,1.22197697236859,NA,NA
2022-09-24,1.25457993025706,NA,NA
2022-09-25,1.29315988125864,NA,NA
2022-09-26,1.35922346452123,NA,NA
2022-09-27,1.38722399755582,NA,NA
2022-09-28,1.3956868236339,NA,NA
2022-09-29,1.37312137271139,NA,NA
2022-09-30,1.34349083354327,NA,NA
2022-10-01,1.31736525607741,NA,NA
2022-10-02,1.285594175819,NA,NA
2022-10-03,1.26686010666426,NA,NA
2022-10-04,1.24665193127046,NA,NA
2022-10-05,1.23095556759601,NA,NA
2022-10-06,1.22192883092619,NA,NA
2022-10-07,1.21699657251018,NA,NA
2022-10-08,1.19178473286143,NA,NA
2022-10-09,1.15753602439899,NA,NA
2022-10-10,1.14787365927209,NA,NA
2022-10-11,1.11909055003399,NA,NA
2022-10-12,1.08879812923851,NA,NA
2022-10-13,1.0592030529641,NA,NA
2022-10-14,1.02438207207081,NA,NA
2022-10-15,0.998476008685773,NA,NA
2022-10-16,0.982170726308122,NA,NA
2022-10-17,0.947892701345204,NA,NA
2022-10-18,0.923835061261743,NA,NA
2022-10-19,0.900367553198038,NA,NA
2022-10-20,NA,0.883823336608732,NA
2022-10-21,NA,0.870385139168147,NA
2022-10-22,NA,0.856598907770063,NA
2022-10-23,NA,0.841515157873686,NA
2022-10-24,NA,0.819966128567613,NA
2022-10-25,NA,0.806309718863813,NA
2022-10-26,NA,0.793953617809187,NA
2022-10-27,NA,NA,0.777576312414815
2022-10-28,NA,NA,0.75938288344533
2022-10-29,NA,NA,0.729055462222242
2022-10-30,NA,NA,0.679410908339849
2022-10-31,NA,NA,0.573901677469733
2022-11-01,NA,NA,0.468038580197108
2022-11-02,NA,NA,0.365752202603415
